Country,Year,Area_sq_km,Gdp_usd,Heath_expend_pc_usd,Population_0_14,Population_15_64,Population_65_up,Population,Population_urb
Slovak Republic,2015,48082,88467555243.7256,1108.87817383,827553,3834363,761885,5423801,2922832
Slovak Republic,2016,48080,89655253976.4258,1175.5970459,828796,3811923,790079,5430798,2922095
Slovak Republic,2017,48080,95494424978.5166,1189.07226563,834255,3784686,820292,5439232,2923642
Slovak Republic,2018,48080,105701930962.982,1299.91137695,841316,3754166,851289,5446771,2926332
Slovak Republic,2019,NA,105079673009.733,NA,846906,3725177,882065,5454147,2930459
Slovak Republic,2020,NA,NA,NA,NA,NA,NA,NA,NA
Slovenia,2015,20142.6,43090173394.6913,1775.86083984,302719,1389102,371710,2063531,1109788
Slovenia,2016,20142,44736333522.4522,1835.40734863,305192,1378214,381636,2065042,1115536
Slovenia,2017,20138.1,48586603447.6954,1925.03479004,307937,1365356,393096,2066388,1121491
Slovenia,2018,20136.4,54161636034.6517,2169.57910156,311536,1355732,406626,2073894,1131123
Slovenia,2019,NA,54174227308.8862,NA,315464,1351354,421567,2088385,1144894
Slovenia,2020,NA,NA,NA,NA,NA,NA,NA,NA
Spain,2015,499661,1195119269971.52,2349.23388672,6923218,30861123,8660491,46444832,36971015
Spain,2016,499564,1232076017361.53,2376.72119141,6863553,30830121,8790387,46484062,37112875
Spain,2017,499547.35,1312539279462.36,2522.64428711,6850761,30821805,8920670,46593236,37311863
Spain,2018,499603.479,1422153839840.78,2736.32324219,6863827,30865221,9068706,46797754,37588424
Spain,2019,NA,1393490524517.64,NA,6870593,31002217,9260711,47133521,37973121
Spain,2020,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,2015,407310,505103781349.757,5595.03320313,1694701,6183010,1921475,9799186,8481489
Sweden,2016,407310,515654671469.547,5674.47753906,1725459,6228866,1968759,9923085,8618398
Sweden,2017,407310,541018749769.097,5838.21533203,1759611,6287411,2010676,10057698,8764881
Sweden,2018,407310,555455371487.089,5981.70605469,1788984,6341467,2044763,10175214,8896291
Sweden,2019,NA,530883869004.977,NA,1811704,6390995,2076188,10278887,9015406
Sweden,2020,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,2015,39516.03,679832292004.984,9382.79101563,1225242,5566544,1490610,8282396,6105617
Switzerland,2016,39516.03,671309197478.183,9439.42480469,1241980,5604990,1526368,8373338,6174416
Switzerland,2017,39516.03,679950481622.843,9606.34960938,1256999,5637093,1557747,8451840,6234162
Switzerland,2018,39516.03,705140620046.7,9870.6640625,1269568,5659119,1585642,8514329,6283319
Switzerland,2019,NA,703082435158.864,NA,1281205,5678664,1615411,8575280,6332759
Switzerland,2020,NA,NA,NA,NA,NA,NA,NA,NA
